ID,Blade_Length_m,Root_Chord_mm,Material,Applied_Load_Pa,Status,Max_Deformation_m,Max_Equiv_Stress_Pa
BL0.8_C150_AL_P500,0.8,150,Aluminium,500,Updated,0.0024376,4.2995 e+6
BL0.8_C150_AL_P1000,0.8,150,Aluminium,1000,Updated,0.0048752,8.5991 e+6
BL0.8_C150_AL_P1500,0.8,150,Aluminium,1500,Updated,0.0073129,1.2899 e+7
BL0.8_C150_FBG_P500,0.8,150,Fiberglass,500,Updated,0.0067417,4.3042 e+6
BL0.8_C150_FBG_P1000,0.8,150,Fiberglass,1000,Updated,0.013483,8.6085 e+6
BL0.8_C150_FBG_P1500,0.8,150,Fiberglass,1500,Updated,0.020225,1.2913 e+7
BL0.8_C150_CBF_P500,0.8,150,Carbon fiber,500,Updated,0.0014031,4.3016 e+6
BL0.8_C150_CBF_P1000,0.8,150,Carbon fiber,1000,Updated,0.0028061,8.6032 e+6
BL0.8_C150_CBF_P1500,0.8,150,Carbon fiber,1500,Updated,0.0042092,1.2905 e+7
BL0.8_C200_AL_P500,0.8,200,Aluminium,500,Pending,,
BL0.8_C200_AL_P1000,0.8,200,Aluminium,1000,Pending,,
BL0.8_C200_AL_P1500,0.8,200,Aluminium,1500,Pending,,
BL0.8_C200_FBG_P500,0.8,200,Fiberglass,500,Pending,,
BL0.8_C200_FBG_P1000,0.8,200,Fiberglass,1000,Pending,,
BL0.8_C200_FBG_P1500,0.8,200,Fiberglass,1500,Pending,,
BL0.8_C200_CBF_P500,0.8,200,Carbon fiber,500,Pending,,
BL0.8_C200_CBF_P1000,0.8,200,Carbon fiber,1000,Pending,,
BL0.8_C200_CBF_P1500,0.8,200,Carbon fiber,1500,Pending,,
BL0.8_C300_AL_P500,0.8,300,Aluminium,500,Pending,,
BL0.8_C300_AL_P1000,0.8,300,Aluminium,1000,Pending,,
BL0.8_C300_AL_P1500,0.8,300,Aluminium,1500,Pending,,
BL0.8_C300_FBG_P500,0.8,300,Fiberglass,500,Pending,,
BL0.8_C300_FBG_P1000,0.8,300,Fiberglass,1000,Pending,,
BL0.8_C300_FBG_P1500,0.8,300,Fiberglass,1500,Pending,,
BL0.8_C300_CBF_P500,0.8,300,Carbon fiber,500,Pending,,
BL0.8_C300_CBF_P1000,0.8,300,Carbon fiber,1000,Pending,,
BL0.8_C300_CBF_P1500,0.8,300,Carbon fiber,1500,Pending,,
BL1.2_C150_AL_P500,1.2,150,Aluminium,500,Pending,,
BL1.2_C150_AL_P1000,1.2,150,Aluminium,1000,Pending,,
BL1.2_C150_AL_P1500,1.2,150,Aluminium,1500,Pending,,
BL1.2_C150_FBG_P500,1.2,150,Fiberglass,500,Pending,,
BL1.2_C150_FBG_P1000,1.2,150,Fiberglass,1000,Pending,,
BL1.2_C150_FBG_P1500,1.2,150,Fiberglass,1500,Pending,,
BL1.2_C150_CBF_P500,1.2,150,Carbon fiber,500,Pending,,
BL1.2_C150_CBF_P1000,1.2,150,Carbon fiber,1000,Pending,,
BL1.2_C150_CBF_P1500,1.2,150,Carbon fiber,1500,Pending,,
BL1.2_C200_AL_P500,1.2,200,Aluminium,500,Pending,,
BL1.2_C200_AL_P1000,1.2,200,Aluminium,1000,Pending,,
BL1.2_C200_AL_P1500,1.2,200,Aluminium,1500,Pending,,
BL1.2_C200_FBG_P500,1.2,200,Fiberglass,500,Pending,,
BL1.2_C200_FBG_P1000,1.2,200,Fiberglass,1000,Pending,,
BL1.2_C200_FBG_P1500,1.2,200,Fiberglass,1500,Pending,,
BL1.2_C200_CBF_P500,1.2,200,Carbon fiber,500,Pending,,
BL1.2_C200_CBF_P1000,1.2,200,Carbon fiber,1000,Pending,,
BL1.2_C200_CBF_P1500,1.2,200,Carbon fiber,1500,Pending,,
BL1.2_C300_AL_P500,1.2,300,Aluminium,500,Pending,,
BL1.2_C300_AL_P1000,1.2,300,Aluminium,1000,Pending,,
BL1.2_C300_AL_P1500,1.2,300,Aluminium,1500,Pending,,
BL1.2_C300_FBG_P500,1.2,300,Fiberglass,500,Pending,,
BL1.2_C300_FBG_P1000,1.2,300,Fiberglass,1000,Pending,,
BL1.2_C300_FBG_P1500,1.2,300,Fiberglass,1500,Pending,,
BL1.2_C300_CBF_P500,1.2,300,Carbon fiber,500,Pending,,
BL1.2_C300_CBF_P1000,1.2,300,Carbon fiber,1000,Pending,,
BL1.2_C300_CBF_P1500,1.2,300,Carbon fiber,1500,Pending,,
BL1.6_C150_AL_P500,1.6,150,Aluminium,500,Pending,,
BL1.6_C150_AL_P1000,1.6,150,Aluminium,1000,Pending,,
BL1.6_C150_AL_P1500,1.6,150,Aluminium,1500,Pending,,
BL1.6_C150_FBG_P500,1.6,150,Fiberglass,500,Pending,,
BL1.6_C150_FBG_P1000,1.6,150,Fiberglass,1000,Pending,,
BL1.6_C150_FBG_P1500,1.6,150,Fiberglass,1500,Pending,,
BL1.6_C150_CBF_P500,1.6,150,Carbon fiber,500,Pending,,
BL1.6_C150_CBF_P1000,1.6,150,Carbon fiber,1000,Pending,,
BL1.6_C150_CBF_P1500,1.6,150,Carbon fiber,1500,Pending,,
BL1.6_C200_AL_P500,1.6,200,Aluminium,500,Pending,,
BL1.6_C200_AL_P1000,1.6,200,Aluminium,1000,Pending,,
BL1.6_C200_AL_P1500,1.6,200,Aluminium,1500,Pending,,
BL1.6_C200_FBG_P500,1.6,200,Fiberglass,500,Pending,,
BL1.6_C200_FBG_P1000,1.6,200,Fiberglass,1000,Pending,,
BL1.6_C200_FBG_P1500,1.6,200,Fiberglass,1500,Pending,,
BL1.6_C200_CBF_P500,1.6,200,Carbon fiber,500,Pending,,
BL1.6_C200_CBF_P1000,1.6,200,Carbon fiber,1000,Pending,,
BL1.6_C200_CBF_P1500,1.6,200,Carbon fiber,1500,Pending,,
BL1.6_C300_AL_P500,1.6,300,Aluminium,500,Pending,,
BL1.6_C300_AL_P1000,1.6,300,Aluminium,1000,Pending,,
BL1.6_C300_AL_P1500,1.6,300,Aluminium,1500,Pending,,
BL1.6_C300_FBG_P500,1.6,300,Fiberglass,500,Pending,,
BL1.6_C300_FBG_P1000,1.6,300,Fiberglass,1000,Pending,,
BL1.6_C300_FBG_P1500,1.6,300,Fiberglass,1500,Pending,,
BL1.6_C300_CBF_P500,1.6,300,Carbon fiber,500,Pending,,
BL1.6_C300_CBF_P1000,1.6,300,Carbon fiber,1000,Pending,,
BL1.6_C300_CBF_P1500,1.6,300,Carbon fiber,1500,Pending,,
